Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
16728000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
16778200,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,50,C0,
16828000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
16878400,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,70,EA,
16928200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
16978400,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,90,0A,
17028000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
17078200,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,B0,26,
17128000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
17178000,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,D0,40,
17228200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
17278400,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,F0,66,
17328600,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
17378800,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,10,86,
17428000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
17477900,000003A1,false,Rx,0,8,C3,FF,FF,B9,3E,00,30,A8,
