50609.5,0x201,8,02 00 00 00 00 00 00 00
50614.6,0x2C1,8,B3 1A 98 00 00 00 00 00
50622.8,0x381,8,05 00 00 00 80 D9 64 08
50634.7,0x201,8,03 00 00 00 00 00 00 00
50635.2,0x2C1,8,04 00 00 00 00 00 00 00
50654.7,0x2C1,8,50 48 FE 00 50 8E 02 00
50657.1,0x281,6,1A 00 FF 1F 00 01
50659.5,0x201,8,00 32 51 1A 00 E4 FF 00
50660.2,0x224,8,04 08 00 A0 E3 00 10 08
50660.4,0x2B4,6,3D 05 0E 0F 01 01
50660.9,0x381,8,06 00 00 00 00 00 00 00
50662.5,0x29D,4,00 00 00 20
50669.1,0x333,5,84 0C 2F 07 00
50674.7,0x2C1,8,21 2B 0D 0A 02 00 00 00
50684.5,0x201,8,59 38 98 00 01 00 00 00
50694.5,0x2C1,8,02 19 06 00 00 D0 92 09
50698.8,0x381,8,07 00 00 00 00 00 00 00
50700.5,0x2F1,8,0A 85 01 00 00 00 00 00
50709.5,0x201,8,02 00 00 00 00 00 00 00
50714.8,0x2C1,8,B3 1A 98 00 00 00 00 00
50734.5,0x2C1,8,04 00 00 00 00 00 00 00
50734.8,0x201,8,03 00 00 00 00 00 00 00
50736.6,0x381,8,08 00 00 00 00 00 00 00
50754.6,0x2C1,8,50 48 FE 00 50 8E 02 00
50757.4,0x281,6,19 00 FF 1F 00 01
50759.7,0x201,8,00 33 51 1A 00 E4 FF 00
50760.4,0x224,8,04 08 00 A0 E3 00 10 08
50760.6,0x2B4,6,3B 05 0D 0F 03 01
50762.7,0x29D,4,00 00 00 20
50774.6,0x2C1,8,21 2B 0D 0A 02 00 00 00
50774.8,0x381,8,09 00 00 00 00 00 00 00
50784.5,0x201,8,59 38 98 00 01 00 00 00
50795.0,0x2C1,8,02 19 06 00 00 D0 92 09
50800.5,0x2F1,8,2B 74 00 00 00 00 00 00
50809.5,0x201,8,02 00 00 00 00 00 00 00
50812.5,0x381,8,0A 00 00 00 00 00 00 00
50814.6,0x2C1,8,B3 1A 98 00 00 00 00 00
50834.5,0x301,8,21 00 00 00 FF FF FF FF
50834.8,0x201,8,03 00 00 00 00 00 00 00
50835.1,0x2C1,8,04 00 00 00 00 00 00 00
50851.3,0x381,8,0B 00 00 00 00 00 00 00
50854.5,0x2C1,8,50 44 FE 00 50 8E 02 00
50857.2,0x281,6,1A 00 FF 1F 00 01
50859.6,0x201,8,00 30 4F 19 00 E4 FF 00
50860.4,0x224,8,04 08 00 A0 E3 00 10 08
50860.5,0x2B4,6,3D 05 0F 0F FB 00
50862.6,0x29D,4,00 00 00 20
50874.8,0x2C1,8,21 2B 0D 0A 02 00 00 00
50884.6,0x201,8,59 38 98 00 01 00 00 00
50888.7,0x381,8,0C 00 00 00 00 00 00 00
50894.5,0x2C1,8,02 19 06 00 00 D0 92 09
50900.5,0x2F1,8,0C 15 50 18 01 86 32 34
50909.5,0x201,8,02 00 00 00 00 00 00 00
50914.6,0x2C1,8,B3 1A 98 00 00 00 00 00
50926.6,0x381,8,0D 00 00 00 00 00 00 00
50934.8,0x201,8,03 00 00 00 00 00 00 00
50935.3,0x2C1,8,04 00 00 00 00 00 00 00
50954.8,0x2C1,8,50 44 FE 00 50 8E 02 00
50957.2,0x281,6,1B 00 FF 1F 00 01
50959.8,0x201,8,00 32 50 1A 00 E4 FF 00
50960.0,0x224,8,04 08 00 60 E3 00 10 08
50960.4,0x2B4,6,3B 05 0B 0F 00 01
50962.8,0x29D,4,00 00 00 20
50964.8,0x381,8,0E 00 00 00 00 E0 FF 00
50974.5,0x2C1,8,21 2B 0D 0A 02 00 00 00
50984.5,0x201,8,59 38 98 00 01 00 00 00
50994.5,0x2C1,8,02 19 06 00 00 D0 92 09
51000.5,0x2F1,8,0D C9 9B 40 21 C0 06 00
51002.8,0x381,8,EF FF FF CD 03 00 CF 0C
51009.5,0x201,8,02 00 00 00 00 00 00 00
51014.6,0x2C1,8,B3 1A 98 00 00 00 00 00
51034.7,0x201,8,03 00 00 00 00 00 00 00
51035.2,0x2C1,8,04 00 00 00 00 00 00 00
51040.5,0x381,8,10 00 00 00 00 00 00 00
51054.5,0x2C1,8,50 44 FE 00 50 8E 02 00
51057.1,0x281,6,1B 00 FF 1F 00 01
51059.7,0x201,8,00 32 4F 1A 00 E4 FF 00
51060.2,0x224,8,04 08 00 C0 E3 00 10 08
51060.4,0x2B4,6,3D 05 0D 0F F4 00
51063.1,0x29D,4,00 00 00 20
51074.5,0x2C1,8,21 2B 0D 0A 02 00 00 00
51078.8,0x381,8,11 00 00 00 00 00 00 00
51084.5,0x201,8,59 38 98 00 01 00 00 00
51094.5,0x2C1,8,02 19 06 00 00 D0 92 09
51100.9,0x2F1,8,0E 00 00 00 00 00 00 00
51109.5,0x201,8,02 00 00 00 00 00 00 00
51114.9,0x2C1,8,B3 1A 98 00 00 00 00 00
51117.6,0x381,8,B2 00 00 00 00 00 A8 00
51134.8,0x201,8,03 00 00 00 00 00 00 00
51135.3,0x2C1,8,04 00 00 00 00 00 00 00
51154.6,0x2C1,8,50 44 FE 00 50 8E 02 00
51154.8,0x381,8,13 00 00 00 00 04 FC FF
51157.1,0x281,6,1B 00 FF 1F 00 01
51159.7,0x201,8,00 31 4F 1A 00 E4 FF 00
51160.2,0x224,8,04 08 00 80 E3 00 10 08
51160.6,0x2B4,6,3A 05 0C 0F F4 00
51163.2,0x29D,4,00 00 00 20
51168.5,0x333,5,84 0C 2F 07 00
51174.6,0x2C1,8,21 2B 0D 0A 02 00 00 00
51184.5,0x201,8,59 38 98 00 01 00 00 00
51192.6,0x381,8,14 00 00 00 00 00 00 00
51194.8,0x2C1,8,02 19 06 00 00 D0 92 09
51200.5,0x2F1,8,0F 5E A9 96 99 B3 39 00
51209.5,0x201,8,02 00 00 00 00 00 00 00
51214.6,0x2C1,8,B3 1A 98 00 00 00 00 00
51230.5,0x381,8,15 60 58 32 50 00 1A 01
51234.6,0x321,8,37 DA A8 90 01 8A D0 C8
51234.8,0x201,8,03 00 00 00 00 00 00 00
51235.0,0x2C1,8,04 00 00 00 00 00 00 00
51254.6,0x2C1,8,50 44 FE 00 50 8E 02 00
51257.2,0x281,6,1B 00 FF 1F 00 01
51259.7,0x201,8,00 31 4F 1A 00 E4 FF 00
51260.2,0x224,8,04 08 00 C0 E3 00 10 08
51260.4,0x2B4,6,39 05 0D 0F EC 00
51263.0,0x29D,4,00 00 00 20
51268.6,0x381,8,16 10 00 00 00 7F 00 00
51274.8,0x2C1,8,21 2B 0D 0A 02 00 00 00
51284.8,0x201,8,59 38 98 00 01 00 00 00
51294.5,0x2C1,8,02 19 06 00 00 D0 92 09
51300.6,0x2F1,8,10 00 00 D6 13 00 00 00
51307.1,0x381,8,17 00 00 00 00 00 00 00
51309.5,0x201,8,02 00 00 00 00 00 00 00
51314.6,0x2C1,8,B3 1A 98 00 00 00 00 00
51334.6,0x2C1,8,04 00 00 00 00 00 00 00
51334.8,0x201,8,03 00 00 00 00 00 00 00
51344.6,0x381,8,18 00 00 00 00 00 00 00
51354.8,0x2C1,8,50 44 FE 00 50 8E 02 00
51357.3,0x281,6,1B 00 FF 1F 00 01
51359.7,0x201,8,00 33 4F 1A 00 E4 FF 00
51360.2,0x224,8,04 08 00 80 E3 00 10 08
51360.4,0x2B4,6,3C 05 0D 0F 02 01
51362.8,0x29D,4,00 00 00 20
51374.6,0x2C1,8,21 2B 0D 0A 02 00 00 00
51382.8,0x381,8,19 00 00 00 00 00 00 00
51384.7,0x201,8,59 38 98 00 01 00 00 00
